X,Y,Angle
830,920,10
830,920,0
830,920,0
830,920,0
830,920,10
830,920,0
830,920,10
830,920,10
830,920,0
830,920,10
830,920,0
830,920,350
830,920,10
830,920,0
830,920,0
830,920,10
830,920,0
830,920,10
830,920,10
830,920,0
849.6961550602441,916.5270364466614,0
850.0,920.0,10
850.0,920.0,10
850.0,920.0,350
849.6961550602441,916.5270364466614,10
850.0,920.0,350
849.6961550602441,916.5270364466614,0
849.6961550602441,916.5270364466614,20
850.0,920.0,350
849.6961550602441,916.5270364466614,0
850.0,920.0,10
849.6961550602441,923.4729635533386,340
849.6961550602441,916.5270364466614,10
850.0,920.0,10
850.0,920.0,0
849.6961550602441,916.5270364466614,0
850.0,920.0,10
849.6961550602441,916.5270364466614,10
849.6961550602441,916.5270364466614,20
850.0,920.0,10
869.6961550602441,916.5270364466614,350
869.6961550602441,916.5270364466614,20
869.6961550602441,916.5270364466614,20
869.6961550602441,923.4729635533386,340
871.3619256265126,912.706776537989,10
869.6961550602441,923.4729635533386,340
869.6961550602441,916.5270364466614,350
868.4900074759623,909.686633580148,30
869.6961550602441,923.4729635533386,340
869.6961550602441,916.5270364466614,350
869.6961550602441,916.5270364466614,20
868.4900074759623,930.313366419852,340
871.3619256265126,912.706776537989,20
869.6961550602441,916.5270364466614,20
872.0,920.0,0
869.6961550602441,916.5270364466614,350
869.6961550602441,916.5270364466614,20
867.4226946144638,913.4013692486567,10
868.4900074759623,909.686633580148,20
869.6961550602441,916.5270364466614,20
889.3923101204882,920.0,340
888.4900074759623,909.686633580148,30
888.4900074759623,909.686633580148,20
888.4900074759623,930.313366419852,330
894.9973116988057,908.5392202739827,10
888.4900074759623,930.313366419852,340
889.3923101204882,920.0,340
885.8105155516511,899.686633580148,40
888.4900074759623,930.313366419852,330
889.3923101204882,920.0,340
888.4900074759623,909.686633580148,30
885.4044746501087,936.469728999714,340
892.0351632838026,905.1823333848242,30
888.4900074759623,909.686633580148,10
896.0,920.0,0
889.3923101204882,920.0,340
888.4900074759623,909.686633580148,30
883.1796186626591,910.6229984059858,10
889.1632451332523,902.1621904269833,20
888.4900074759623,909.686633580148,20
908.1861625362064,926.8404028665134,330
905.8105155516511,899.686633580148,40
909.1632451332523,902.1621904269833,20
905.8105155516511,940.313366419852,340
920.6023132771231,904.0243676546424,10
905.4044746501087,936.469728999714,340
908.1861625362064,926.8404028665134,340
901.1314044140306,886.8308813864172,50
905.8105155516511,940.313366419852,320
908.1861625362064,926.8404028665134,330
905.8105155516511,899.686633580148,30
900.4395565826832,941.9420512929247,340
911.0877221670603,894.1823333848242,20
908.1861625362064,906.2136700268095,20
922.0,920.0,0
908.1861625362064,926.8404028665134,340
905.8105155516511,899.686633580148,30
896.96692720483,908.1919239186487,20
911.7158680321141,893.9537069871673,20
905.4044746501087,903.530271000286,20
925.5066706118952,936.8404028665134,330
921.1314044140306,886.8308813864172,50
931.7158680321141,893.9537069871673,20
948.176930361465,899.1622186799684,10
920.4395565826832,941.9420512929247,340
925.1006297103528,932.9967654463754,340
925.5066706118952,936.8404028665134,320
921.398972819771,890.686633580148,30
931.7609598243503,886.6578902316595,30
926.9800149519247,899.3732671602961,20
950.0,920.0,0
928.8594001934964,934.3648460196781,340
924.8630744349088,888.686633580148,30
910.1226238958327,903.4036419120894,30
936.1478761725477,885.0611832606999,20
920.4395565826832,898.0579487070753,20
956.1478761725477,885.0611832606999,20
977.7211629518313,893.9527733499605,10
940.1357116429273,938.4690877395861,340
943.894482126071,893.2169045804341,20
980.0,920.0,0
951.4120230923583,942.5733294594942,340
922.2469795488148,896.4036419120894,40
933.5952532736859,893.2696667005159,20
1009.235011048222,888.3960316646187,10
953.29140833393,943.2573697461455,340
958.9295640586455,887.7445822872234,20
1012.0,920.0,0
932.9716017524805,887.4046153764779,50
944.8715647231168,889.1654249806079,10
1046.0,920.0,0
956.6892577592632,887.0816468486047,10
1082.0,920.0,0
968.5069507954097,884.9978687166015,0
1120.0,920.0,0
980.5069507954097,884.9978687166015,0
1160.0,920.0,0
